chip,mhz,test,pie_1core,nopie_1core,pie_2core,nopie_2core,unit
ESP32-S3,240,int8-mac-reg,7.6468,,15.2824,,GOPS
ESP32-S3,240,int16-mac-reg,3.8234,,7.6412,,GOPS
ESP32-S3,240,int8-mac-sram,2.5347,0.0682,4.0590,0.1354,GOPS
ESP32-S3,240,int16-mac-sram,1.2674,0.0830,2.0295,0.1637,GOPS
ESP32-S3,240,int8-mac-psram,0.0276,0.0251,0.0279,0.0278,GOPS
ESP32-S3,240,int8-mul-sram,0.6313,0.0199,1.2091,0.0297,GOPS
ESP32-S3,240,int16-mul-sram,0.3156,0.0341,0.6046,0.0675,GOPS
ESP32-S3,240,int8-add-sram,0.7561,0.0149,1.4313,0.0217,GOPS
ESP32-S3,240,int16-add-sram,0.3781,0.0265,0.7157,0.0527,GOPS
ESP32-S3,240,int32-add-sram,0.1890,0.0103,0.3578,0.0121,GOPS
ESP32-S3,240,int32-scalar,,0.2390,,0.4776,GOPS
ESP32-S3,240,fp32-scalar,,0.4779,,0.9551,GFLOPS
ESP32-S3,240,copy-sram,1266.9638,380.9279,2531.9535,761.3229,MB/s
ESP32-S3,240,copy-sram>psram,14.4981,14.5039,14.5599,14.5468,MB/s
ESP32-S3,240,copy-psram>sram,27.4227,27.1345,27.8470,27.8439,MB/s
ESP32-S3,240,copy-psram,9.5264,9.5313,9.5608,9.5603,MB/s
