chip,mhz,test,pie_1core,nopie_1core,pie_2core,nopie_2core,unit
ESP32-D0WDQ6-V3,240,int8-mac-reg,,,,,GOPS
ESP32-D0WDQ6-V3,240,int16-mac-reg,,,,,GOPS
ESP32-D0WDQ6-V3,240,int8-mac-sram,,0.0490,,0.0980,GOPS
ESP32-D0WDQ6-V3,240,int16-mac-sram,,0.0659,,0.1316,GOPS
ESP32-D0WDQ6-V3,240,int8-mac-psram,,0.0176,,0.0199,GOPS
ESP32-D0WDQ6-V3,240,int8-mul-sram,,0.0120,,0.0239,GOPS
ESP32-D0WDQ6-V3,240,int16-mul-sram,,0.0184,,0.0367,GOPS
ESP32-D0WDQ6-V3,240,int8-add-sram,,0.0096,,0.0191,GOPS
ESP32-D0WDQ6-V3,240,int16-add-sram,,0.0159,,0.0318,GOPS
ESP32-D0WDQ6-V3,240,int32-add-sram,,0.0085,,0.0169,GOPS
ESP32-D0WDQ6-V3,240,int32-scalar,,0.2391,,0.4779,GOPS
ESP32-D0WDQ6-V3,240,fp32-scalar,,0.4782,,0.9558,GFLOPS
ESP32-D0WDQ6-V3,240,copy-sram,,190.9446,,380.2145,MB/s
ESP32-D0WDQ6-V3,240,copy-sram>psram,,13.5357,,14.4027,MB/s
ESP32-D0WDQ6-V3,240,copy-psram>sram,,24.2701,,26.6638,MB/s
ESP32-D0WDQ6-V3,240,copy-psram,,9.0853,,9.6163,MB/s
