chip,mhz,test,pie_1core,nopie_1core,pie_2core,nopie_2core,unit
ESP32-P4,360,int8-mac-reg,11.4635,,22.9083,,GOPS
ESP32-P4,360,int16-mac-reg,5.7318,,11.4542,,GOPS
ESP32-P4,360,int8-mac-sram,3.7503,0.1433,6.6662,0.2797,GOPS
ESP32-P4,360,int16-mac-sram,1.8751,0.1508,3.2821,0.2884,GOPS
ESP32-P4,360,int8-mac-psram,0.1599,0.0757,0.1589,0.0865,GOPS
ESP32-P4,360,int8-mul-sram,1.1333,0.0359,2.0541,0.0715,GOPS
ESP32-P4,360,int16-mul-sram,0.5657,0.0448,1.0354,0.0892,GOPS
ESP32-P4,360,int8-add-sram,1.1334,0.0227,2.0567,0.0453,GOPS
ESP32-P4,360,int16-add-sram,0.5658,0.0278,1.0393,0.0554,GOPS
ESP32-P4,360,int32-add-sram,0.2833,0.0142,0.5139,0.0283,GOPS
ESP32-P4,360,int32-scalar,,0.3582,,0.7159,GOPS
ESP32-P4,360,fp32-scalar,,0.7159,,1.4307,GFLOPS
ESP32-P4,360,copy-sram,2792.0721,559.2849,3856.4229,915.9610,MB/s
ESP32-P4,360,copy-sram>psram,137.5172,124.7778,101.2380,98.6769,MB/s
ESP32-P4,360,copy-psram>sram,157.3119,139.0205,153.9796,136.4397,MB/s
ESP32-P4,360,copy-psram,60.8929,58.8883,60.5372,58.3237,MB/s
